state_id,last_update,confirmed,new_confirmed,deaths,new_deaths,fatality_rate
36,2020-03-23T00:00:00Z,23230,6337,183,31,0.008
34,2020-03-23T00:00:00Z,2844,930,27,6,0.009
53,2020-03-23T00:00:00Z,2221,226,111,16,0.05
6,2020-03-23T00:00:00Z,2212,396,43,8,0.019
26,2020-03-23T00:00:00Z,1329,291,15,6,0.011
17,2020-03-23T00:00:00Z,1285,235,12,5,0.009
12,2020-03-23T00:00:00Z,1227,223,18,4,0.015
22,2020-03-23T00:00:00Z,1172,335,35,16,0.03
25,2020-03-23T00:00:00Z,777,131,9,4,0.012
13,2020-03-23T00:00:00Z,803,179,26,1,0.032
48,2020-03-23T00:00:00Z,770,98,9,1,0.012
42,2020-03-23T00:00:00Z,698,183,6,1,0.009
47,2020-03-23T00:00:00Z,615,117,2,0,0.003
8,2020-03-23T00:00:00Z,723,128,7,0,0.01
39,2020-03-23T00:00:00Z,443,87,6,3,0.014
55,2020-03-23T00:00:00Z,425,42,5,1,0.012
9,2020-03-23T00:00:00Z,415,88,10,2,0.024
37,2020-03-23T00:00:00Z,420,109,0,0,0.0
45,2020-03-23T00:00:00Z,298,105,5,2,0.017
24,2020-03-23T00:00:00Z,290,42,3,0,0.01
18,2020-03-23T00:00:00Z,271,67,7,0,0.026
49,2020-03-23T00:00:00Z,257,77,1,0,0.004
51,2020-03-23T00:00:00Z,254,33,7,1,0.028
28,2020-03-23T00:00:00Z,249,42,1,0,0.004
32,2020-03-23T00:00:00Z,245,54,4,2,0.016
4,2020-03-23T00:00:00Z,235,83,2,0,0.009
27,2020-03-23T00:00:00Z,235,66,1,0,0.004
1,2020-03-23T00:00:00Z,196,39,0,0,0.0
41,2020-03-23T00:00:00Z,191,30,5,0,0.026
29,2020-03-23T00:00:00Z,195,45,4,1,0.021
5,2020-03-23T00:00:00Z,197,31,0,0,0.0
21,2020-03-23T00:00:00Z,124,21,4,1,0.032
,2020-03-23T00:00:00Z,141,21,2,0,0.014
23,2020-03-23T00:00:00Z,107,21,0,0,0.0
44,2020-03-23T00:00:00Z,106,23,0,0,0.0
19,2020-03-23T00:00:00Z,105,15,0,0,0.0
33,2020-03-23T00:00:00Z,101,23,1,1,0.01
20,2020-03-23T00:00:00Z,84,17,2,0,0.024
40,2020-03-23T00:00:00Z,81,14,2,0,0.025
50,2020-03-23T00:00:00Z,75,23,5,3,0.067
10,2020-03-23T00:00:00Z,87,31,0,0,0.0
16,2020-03-23T00:00:00Z,68,17,0,0,0.0
35,2020-03-23T00:00:00Z,83,18,0,0,0.0
15,2020-03-23T00:00:00Z,77,21,0,0,0.0
31,2020-03-23T00:00:00Z,66,14,0,0,0.0
,2020-03-23T00:00:00Z,49,0,0,0,0.0
30,2020-03-23T00:00:00Z,46,12,0,0,0.0
2,2020-03-23T00:00:00Z,36,4,0,0,0.0
72,2020-03-23T00:00:00Z,31,8,2,1,0.065
38,2020-03-23T00:00:00Z,33,3,0,0,0.0
,2020-03-23T00:00:00Z,29,2,1,0,0.034
,2020-03-23T00:00:00Z,28,0,1,0,0.036
46,2020-03-23T00:00:00Z,28,7,1,0,0.036
56,2020-03-23T00:00:00Z,28,2,0,0,0.0
54,2020-03-23T00:00:00Z,20,4,0,0,0.0
,2020-03-23T00:00:00Z,17,11,0,0,0.0
,2020-03-23T00:00:00Z,4,0,0,0,0.0
